z	T	P	nabla_ad	S	rho	delta	cp	cv
3800000.0	22845.6612632	5843032.79633	0.163515702373	174311.035156	0.0266713323072	1.99735224247	117837.205558	83328.9428711
3825000.0	22963.8951018	6029954.39362	0.164341369569	174316.357422	0.0273350851785	1.9909222126	117084.413078	82731.0058594
3850000.0	23082.5286732	6221521.94439	0.165174532799	174323.144531	0.0280096737697	1.98441934586	116326.955011	82130.657959
3875000.0	23201.5653842	6417812.02878	0.166012126002	174330.224609	0.0286953509203	1.97790634632	115570.585386	81531.9396973
3900000.0	23321.0071839	6618903.20087	0.166850743454	174336.206055	0.0293924349535	1.97144794464	114821.093232	80938.873291
3925000.0	23440.8545505	6824876.3282	0.167686653222	174339.526367	0.0301012842101	1.96510910988	114084.383201	80355.6213379
3950000.0	23561.1063328	7035815.01364	0.168515772921	174338.464355	0.0308223352476	1.95895791054	113366.566179	79786.4501953
3975000.0	23681.7597022	7251806.11408	0.169333783242	174331.066895	0.0315560500894	1.95306372643	112673.754079	79235.6689453
4000000.0	23802.8103503	7472938.17278	0.170143635605	174320.654297	0.0323020940414	1.9473553896	112001.160779	78700.0854492
4025000.0	23924.2588081	7699292.02378	0.170963877796	174313.989258	0.0330592010869	1.94148862362	111318.274809	78158.5632324
4050000.0	24046.1107252	7930944.91593	0.171795711775	174310.839844	0.033827353036	1.93545091152	110623.242944	77609.6679688
4075000.0	24168.3709689	8167974.3486	0.172637200612	174310.852051	0.0346066481143	1.92928421497	109919.762757	77055.8898926
4100000.0	24291.0434808	8410458.80183	0.173486327753	174313.549805	0.0353972063749	1.92303395271	109211.717781	76499.8413086
4125000.0	24414.1309462	8658477.42978	0.174340646076	174318.261719	0.0361991624231	1.91674768925	108503.191946	75944.2810059
4150000.0	24537.6349265	8912110.75145	0.175197609332	174324.34082	0.0370127163478	1.91047286987	107798.391588	75392.1081543
4175000.0	24661.5555949	9171440.70848	0.176054348076	174330.957031	0.0378380864277	1.9042583704	107101.655176	74846.3012695
4200000.0	24785.891705	9436550.93252	0.176907761732	174337.207031	0.038675549149	1.89815354347	106417.429836	74309.979248
4225000.0	24910.6405012	9707527.02042	0.177754542244	174342.016602	0.0395253991883	1.89220583439	105750.043419	73786.1877441
4250000.0	25035.7977	9984456.99689	0.178591854622	174344.238281	0.0403880148951	1.88645386696	105102.91736	73277.331543
4275000.0	25161.3606621	10267431.0239	0.179426300107	174342.297363	0.0412636072724	1.88076460361	104462.631483	72774.1821289
4300000.0	25287.3309167	10556540.7063	0.180258833611	174334.94873	0.0421524237026	1.87511575222	103826.381916	72274.7436523
4325000.0	25413.7096827	10851877.4049	0.181092795516	174325.915527	0.0430538057117	1.86945664883	103191.438459	71777.2216797
4350000.0	25540.4985931	11153525.0173	0.181932063493	174320.092773	0.0439668219769	1.86372089386	102553.947947	71279.0344238
4375000.0	25667.6986812	11461565.4486	0.182775005024	174317.236328	0.0448915598099	1.85794007778	101916.649213	70782.03125
4400000.0	25795.3099936	11776081.0652	0.183619941799	174317.089844	0.0458280919702	1.8521490097	101282.46796	70288.1469727
4425000.0	25923.3314761	12097154.9932	0.184464581321	174319.262695	0.046776542149	1.84638345242	100654.538431	69799.4934082
4450000.0	26051.76105	12424871.3528	0.185306874926	174323.400879	0.0477370558656	1.84068024158	100036.023158	69318.2128906
4475000.0	26180.5953683	12759315.26	0.18614437117	174329.003906	0.0487098077429	1.83507728577	99430.1638036	68846.5026855
4500000.0	26309.8299943	13100573.3606	0.186975501298	174335.461426	0.0496950160596	1.82959234715	98838.3242024	68385.3088379
4525000.0	26439.4624156	13448733.7354	0.187805677034	174341.503906	0.0506928554387	1.82411336899	98249.7477544	67927.355957
4550000.0	26569.492723	13803885.5556	0.188635112947	174346.557617	0.0517035077792	1.81863903999	97663.7969044	67472.1191406
4575000.0	26699.9208649	14166119.2234	0.189462698519	174350.048828	0.0527271113242	1.81319570541	97082.4404514	67020.880127
4600000.0	26830.7461301	14535526.2806	0.190287234866	174351.391602	0.0537638698006	1.80781209469	96507.76756	66574.9389648
4625000.0	26961.9672641	14912199.7549	0.19110711894	174349.87793	0.0548139796592	1.80251765251	95941.9940312	66135.736084
4650000.0	27093.5824179	15296234.2215	0.191920960286	174344.775391	0.0558777101105	1.79734110832	95387.4124464	65704.7973633
4675000.0	27225.5889926	15687725.6558	0.192728602105	174336.950684	0.0569548974454	1.79228425026	94844.5249198	65282.434082
4700000.0	27357.9840361	16086763.8619	0.193533746674	174331.628418	0.0580443520448	1.7872800827	94309.7905876	64866.4123535
4725000.0	27490.763972	16493434.5677	0.194335129204	174329.101562	0.0591460193391	1.78234672546	93784.9920306	64457.9650879
4750000.0	27623.9246575	16907824.1141	0.19513279001	174328.747559	0.0602600775892	1.77745223045	93267.5566508	64055.5297852
4775000.0	27757.4634324	17330020.3702	0.195928587011	174329.797363	0.0613866868662	1.77253830433	92752.3107495	63655.7250977
