zs[m]              temperatures[K]   pressures[Pa]     rhos[kg/m^3]      kappas[m^2/kg]    gamma1s[1]        nablaads[1]       entropies[J/K]
-9.485010072e+04   5.188923918e+03   3.687156891e+03   1.077761010e-04   1.366899469e-02   1.640244961e+00   3.880904019e-01   1.104937708e-04
-8.805961642e+04   5.220517884e+03   3.892606060e+03   1.131279849e-04   1.438720306e-02   1.640072107e+00   3.880612850e-01   1.159436673e-04
-8.123951937e+04   5.252614376e+03   4.109155327e+03   1.187009603e-04   1.514919552e-02   1.640051365e+00   3.880808055e-01   1.216448609e-04
-7.439158153e+04   5.285505053e+03   4.337261927e+03   1.245036516e-04   1.596568877e-02   1.640099168e+00   3.881205916e-01   1.275975022e-04
-6.752139327e+04   5.319505816e+03   4.577272961e+03   1.305548459e-04   1.684987849e-02   1.640081406e+00   3.881349564e-01   1.337963948e-04
-6.063731578e+04   5.354938574e+03   4.829391287e+03   1.368363632e-04   1.781473853e-02   1.640045166e+00   3.881485164e-01   1.402303760e-04
-5.375033449e+04   5.392112979e+03   5.093656341e+03   1.433168163e-04   1.888385527e-02   1.640046358e+00   3.881847262e-01   1.468823011e-04
-4.687082334e+04   5.431310648e+03   5.370031886e+03   1.499908033e-04   2.005505332e-02   1.639969945e+00   3.881933391e-01   1.537321963e-04
-4.000897648e+04   5.472774003e+03   5.658427682e+03   1.568576569e-04   2.135407605e-02   1.639723063e+00   3.881317973e-01   1.607584323e-04
-3.317734880e+04   5.516700969e+03   5.958534999e+03   1.638598324e-04   2.280425133e-02   1.639447451e+00   3.880553246e-01   1.679335523e-04
-2.638739887e+04   5.563245526e+03   6.269883812e+03   1.709071629e-04   2.442913484e-02   1.639317751e+00   3.880341053e-01   1.752264130e-04
-1.965257983e+04   5.612523016e+03   6.591771040e+03   1.780187763e-04   2.627077285e-02   1.639091611e+00   3.879757822e-01   1.826005526e-04
-1.299394673e+04   5.664618416e+03   6.923121276e+03   1.852714359e-04   2.838674825e-02   1.638323307e+00   3.877042532e-01   1.900107040e-04
-6.436012846e+03   5.719595752e+03   7.262547541e+03   1.925767683e-04   3.082817234e-02   1.637122393e+00   3.872584105e-01   1.974049043e-04
0.000000000e+00   5.777507522e+03   7.608475983e+03   1.997975921e-04   3.365209635e-02   1.635789394e+00   3.867625296e-01   2.047282041e-04
2.428438425e+03   5.800440571e+03   7.742316654e+03   2.025313941e-04   3.485109667e-02   1.635234356e+00   3.865551651e-01   2.075032276e-04
4.835777756e+03   5.823767745e+03   7.876791130e+03   2.052404447e-04   3.612041832e-02   1.634653091e+00   3.863355219e-01   2.102588991e-04
7.220615253e+03   5.847490461e+03   8.011767250e+03   2.079168377e-04   3.746397422e-02   1.634045839e+00   3.861036003e-01   2.129913180e-04
9.581461619e+03   5.871608150e+03   8.147106456e+03   2.105544420e-04   3.888605147e-02   1.633409262e+00   3.858582675e-01   2.156965566e-04
1.191672634e+04   5.896118216e+03   8.282653852e+03   2.131485409e-04   4.039125529e-02   1.632738352e+00   3.855984807e-01   2.183704068e-04
1.422462964e+04   5.921015449e+03   8.418241038e+03   2.156993592e-04   4.198491868e-02   1.632021666e+00   3.853221238e-01   2.210084895e-04
1.650315388e+04   5.946291858e+03   8.553682562e+03   2.182104039e-04   4.367289804e-02   1.631239653e+00   3.850217462e-01   2.236061807e-04
1.875016208e+04   5.971937561e+03   8.688785158e+03   2.206826125e-04   4.546085159e-02   1.630381107e+00   3.846913874e-01   2.261588313e-04
2.096355781e+04   5.997941715e+03   8.823354847e+03   2.231142591e-04   4.735422455e-02   1.629440308e+00   3.843269050e-01   2.286619228e-04
2.314139636e+04   6.024292982e+03   8.957204045e+03   2.254998839e-04   4.935807598e-02   1.628427505e+00   3.839300871e-01   2.311112335e-04
