 6.962008385e+08   1.119435654e+05   3.912716806e-01
 6.961946485e+08   1.125285760e+05   3.910589516e-01
 6.961884371e+08   1.131395987e+05   3.908312321e-01
 6.961822051e+08   1.137785548e+05   3.905888498e-01
 6.961759482e+08   1.144450572e+05   3.903323114e-01
 6.961696600e+08   1.151360817e+05   3.900618851e-01
 6.961633354e+08   1.158480504e+05   3.897730708e-01
 6.961569647e+08   1.165753753e+05   3.894646764e-01
 6.961505443e+08   1.173189081e+05   3.891363442e-01
 6.961440876e+08   1.180729361e+05   3.887895942e-01
 6.961376005e+08   1.188338802e+05   3.884258270e-01
 6.961310731e+08   1.195990858e+05   3.880454302e-01
 6.961245026e+08   1.203638180e+05   3.876445889e-01
 6.961178918e+08   1.211372688e+05   3.876621425e-01
 6.961112377e+08   1.219304072e+05   3.877873719e-01
 6.961045395e+08   1.227315836e+05   3.879668117e-01
 6.960978170e+08   1.235139383e+05   3.881028593e-01
 6.960910795e+08   1.242586548e+05   3.881288171e-01
 6.960843178e+08   1.249777164e+05   3.880904019e-01
 6.960775273e+08   1.257066315e+05   3.880612850e-01
 6.960707072e+08   1.264661797e+05   3.880808055e-01
 6.960638593e+08   1.272566394e+05   3.881205916e-01
 6.960569891e+08   1.280767093e+05   3.881349564e-01
 6.960501050e+08   1.289332931e+05   3.881485164e-01
 6.960432180e+08   1.298347518e+05   3.881847262e-01
 6.960363385e+08   1.307823967e+05   3.881933391e-01
 6.960294767e+08   1.317781597e+05   3.881317973e-01
 6.960226450e+08   1.328448986e+05   3.880553246e-01
 6.960158551e+08   1.340049820e+05   3.880341053e-01
 6.960091203e+08   1.352318099e+05   3.879757822e-01
 6.960024616e+08   1.364738658e+05   3.877042532e-01
 6.959959037e+08   1.377426973e+05   3.872584105e-01
 6.959894677e+08   1.390305704e+05   3.867625296e-01
 6.959870392e+08   1.395429537e+05   3.865551651e-01
 6.959846319e+08   1.400898454e+05   3.863355219e-01
 6.959822471e+08   1.406583045e+05   3.861036003e-01
 6.959798862e+08   1.412398892e+05   3.858582675e-01
 6.959775510e+08   1.418382629e+05   3.855984807e-01
 6.959752431e+08   1.424573054e+05   3.853221238e-01
 6.959729645e+08   1.430819863e+05   3.850217462e-01
 6.959707175e+08   1.437100077e+05   3.846913874e-01
 6.959685041e+08   1.443415114e+05   3.843269050e-01
 6.959663263e+08   1.449818248e+05   3.839300871e-01
 6.959641858e+08   1.456302801e+05   3.835047781e-01
 6.959620845e+08   1.462803479e+05   3.830501735e-01
 6.959600241e+08   1.469366318e+05   3.825642169e-01
 6.959580063e+08   1.476015713e+05   3.820451796e-01
 6.959560327e+08   1.482766077e+05   3.814907670e-01
 6.959541049e+08   1.489518309e+05   3.808992207e-01
 6.959522243e+08   1.496366372e+05   3.802676201e-01
 6.959503916e+08   1.503242303e+05   3.795942962e-01
 6.959486079e+08   1.510134437e+05   3.788825870e-01
