r[m]	temperatures[K]	pressures[Pa]	rhos[kg/m^3]	kappas[m^2/kg]	gamma1s[idklol]	nablaads[K/m?]
6.963405910e+08	4.380962657e+03	3.755231237e+02	1.299372782e-05	1.800710088e-03	1.651459932e+00	3.937540948e-01
6.963345941e+08	4.384728321e+03	3.974809815e+02	1.374220097e-05	1.886114009e-03	1.651357293e+00	3.936903477e-01
6.963285872e+08	4.388879335e+03	4.207418414e+02	1.453319980e-05	1.975778264e-03	1.651150465e+00	3.935806453e-01
6.963225707e+08	4.393451945e+03	4.453801772e+02	1.536885571e-05	2.069965347e-03	1.650851607e+00	3.934299052e-01
6.963165450e+08	4.398485103e+03	4.714737933e+02	1.625130121e-05	2.168964914e-03	1.650504827e+00	3.932577968e-01
6.963105106e+08	4.404020517e+03	4.991044023e+02	1.718274391e-05	2.273121037e-03	1.650171280e+00	3.930911422e-01
6.963044682e+08	4.410102655e+03	5.283558036e+02	1.816533790e-05	2.382861963e-03	1.649927139e+00	3.929636776e-01
6.962984187e+08	4.416778702e+03	5.593137065e+02	1.920124299e-05	2.498816785e-03	1.649759412e+00	3.928703368e-01
6.962923639e+08	4.424098452e+03	5.920626656e+02	2.029247220e-05	2.621878486e-03	1.649644375e+00	3.928008080e-01
6.962863045e+08	4.432114130e+03	6.266949626e+02	2.144120492e-05	2.751245397e-03	1.649564028e+00	3.927473128e-01
6.962802400e+08	4.440880116e+03	6.633151362e+02	2.264987929e-05	2.887346826e-03	1.649494886e+00	3.926992118e-01
6.962741699e+08	4.450452572e+03	7.020299897e+02	2.392090754e-05	3.030933191e-03	1.649403572e+00	3.926415145e-01
6.962680945e+08	4.460888934e+03	7.429481919e+02	2.525655534e-05	3.182641809e-03	1.649314404e+00	3.925865889e-01
6.962620139e+08	4.472247285e+03	7.861811646e+02	2.665900919e-05	3.343060477e-03	1.649244785e+00	3.925428391e-01
6.962559285e+08	4.484585554e+03	8.318441047e+02	2.813042290e-05	3.512747899e-03	1.649180055e+00	3.925024271e-01
6.962498381e+08	4.497960568e+03	8.800586038e+02	2.967303682e-05	3.692242302e-03	1.649098396e+00	3.924545646e-01
6.962437426e+08	4.512426912e+03	9.309504279e+02	3.128902700e-05	3.882087686e-03	1.648972273e+00	3.923858106e-01
6.962376415e+08	4.528035624e+03	9.846521820e+02	3.298061719e-05	4.082854558e-03	1.648779035e+00	3.922848105e-01
6.962315342e+08	4.544832706e+03	1.041305264e+03	3.475011407e-05	4.295137423e-03	1.648527026e+00	3.921572268e-01
6.962254194e+08	4.562857474e+03	1.101057556e+03	3.659987262e-05	4.519098742e-03	1.648224711e+00	3.920066655e-01
6.962192954e+08	4.582140775e+03	1.164073815e+03	3.853267458e-05	4.754970203e-03	1.647881866e+00	3.918374181e-01
6.962131593e+08	4.602703096e+03	1.230535496e+03	4.055167580e-05	5.002436394e-03	1.647512436e+00	3.916556537e-01
6.962070079e+08	4.624552642e+03	1.300638797e+03	4.266041767e-05	5.262169737e-03	1.647133708e+00	3.914690614e-01
6.962008385e+08	4.647683444e+03	1.374591996e+03	4.486275181e-05	5.534937053e-03	1.646731615e+00	3.912716806e-01
6.961946485e+08	4.672073596e+03	1.452607457e+03	4.716259447e-05	5.821989154e-03	1.646296382e+00	3.910589516e-01
6.961884371e+08	4.697683740e+03	1.534891503e+03	4.956366301e-05	6.126379019e-03	1.645828485e+00	3.908312321e-01
6.961822051e+08	4.724455942e+03	1.621639889e+03	5.206943191e-05	6.450091862e-03	1.645329833e+00	3.905888498e-01
6.961759482e+08	4.752313101e+03	1.713123332e+03	5.468584948e-05	6.782681270e-03	1.644801855e+00	3.903323114e-01
6.961696600e+08	4.781159086e+03	1.809674721e+03	5.742092476e-05	7.130318190e-03	1.644246817e+00	3.900618851e-01
6.961633354e+08	4.810879759e+03	1.911630498e+03	6.028294145e-05	7.488932542e-03	1.643653035e+00	3.897730708e-01
6.961569647e+08	4.841345073e+03	2.019447010e+03	6.328401910e-05	7.851739399e-03	1.643018007e+00	3.894646764e-01
6.961505443e+08	4.872412405e+03	2.133515586e+03	6.643431896e-05	8.237886042e-03	1.642342687e+00	3.891363442e-01
6.961440876e+08	4.903931247e+03	2.253932685e+03	6.973503609e-05	8.675412519e-03	1.641629696e+00	3.887895942e-01
6.961376005e+08	4.935749313e+03	2.380922126e+03	7.319150871e-05	9.120507558e-03	1.640883923e+00	3.884258270e-01
6.961310731e+08	4.967720036e+03	2.515031561e+03	7.681921411e-05	9.577897098e-03	1.640106678e+00	3.880454302e-01
6.961245026e+08	4.999711300e+03	2.656722664e+03	8.063068170e-05	1.006042340e-02	1.639290333e+00	3.876445889e-01
6.961178918e+08	5.031615070e+03	2.806359589e+03	8.463311578e-05	1.057423548e-02	1.639376760e+00	3.876621425e-01
6.961112377e+08	5.063357412e+03	2.964435097e+03	8.881676227e-05	1.110007383e-02	1.639719367e+00	3.877873719e-01
6.961045395e+08	5.094908157e+03	3.131416548e+03	9.319988395e-05	1.166829163e-02	1.640169144e+00	3.879668117e-01
6.960978170e+08	5.126289284e+03	3.307283691e+03	9.780405758e-05	1.232143127e-02	1.640472770e+00	3.881028593e-01
6.960910795e+08	5.157580929e+03	3.492269940e+03	1.026614837e-04	1.298549770e-02	1.640452862e+00	3.881288171e-01
6.960843178e+08	5.188923918e+03	3.687156891e+03	1.077761010e-04	1.366899469e-02	1.640244961e+00	3.880904019e-01
6.960775273e+08	5.220517884e+03	3.892606060e+03	1.131279849e-04	1.438720306e-02	1.640072107e+00	3.880612850e-01
6.960707072e+08	5.252614376e+03	4.109155327e+03	1.187009603e-04	1.514919552e-02	1.640051365e+00	3.880808055e-01
6.960638593e+08	5.285505053e+03	4.337261927e+03	1.245036516e-04	1.596568877e-02	1.640099168e+00	3.881205916e-01
6.960569891e+08	5.319505816e+03	4.577272961e+03	1.305548459e-04	1.684987849e-02	1.640081406e+00	3.881349564e-01
6.960501050e+08	5.354938574e+03	4.829391287e+03	1.368363632e-04	1.781473853e-02	1.640045166e+00	3.881485164e-01
6.960432180e+08	5.392112979e+03	5.093656341e+03	1.433168163e-04	1.888385527e-02	1.640046358e+00	3.881847262e-01
6.960363385e+08	5.431310648e+03	5.370031886e+03	1.499908033e-04	2.005505332e-02	1.639969945e+00	3.881933391e-01
6.960294767e+08	5.472774003e+03	5.658427682e+03	1.568576569e-04	2.135407605e-02	1.639723063e+00	3.881317973e-01
6.960226450e+08	5.516700969e+03	5.958534999e+03	1.638598324e-04	2.280425133e-02	1.639447451e+00	3.880553246e-01
6.960158551e+08	5.563245526e+03	6.269883812e+03	1.709071629e-04	2.442913484e-02	1.639317751e+00	3.880341053e-01
6.960091203e+08	5.612523016e+03	6.591771040e+03	1.780187763e-04	2.627077285e-02	1.639091611e+00	3.879757822e-01
6.960024616e+08	5.664618416e+03	6.923121276e+03	1.852714359e-04	2.838674825e-02	1.638323307e+00	3.877042532e-01
6.959959037e+08	5.719595752e+03	7.262547541e+03	1.925767683e-04	3.082817234e-02	1.637122393e+00	3.872584105e-01
6.959894677e+08	5.777507522e+03	7.608475983e+03	1.997975921e-04	3.365209635e-02	1.635789394e+00	3.867625296e-01
6.959870392e+08	5.800440571e+03	7.742316654e+03	2.025313941e-04	3.485109667e-02	1.635234356e+00	3.865551651e-01
6.959846319e+08	5.823767745e+03	7.876791130e+03	2.052404447e-04	3.612041832e-02	1.634653091e+00	3.863355219e-01
6.959822471e+08	5.847490461e+03	8.011767250e+03	2.079168377e-04	3.746397422e-02	1.634045839e+00	3.861036003e-01
6.959798862e+08	5.871608150e+03	8.147106456e+03	2.105544420e-04	3.888605147e-02	1.633409262e+00	3.858582675e-01
6.959775510e+08	5.896118216e+03	8.282653852e+03	2.131485409e-04	4.039125529e-02	1.632738352e+00	3.855984807e-01
6.959752431e+08	5.921015449e+03	8.418241038e+03	2.156993592e-04	4.198491868e-02	1.632021666e+00	3.853221238e-01
6.959729645e+08	5.946291858e+03	8.553682562e+03	2.182104039e-04	4.367289804e-02	1.631239653e+00	3.850217462e-01
6.959707175e+08	5.971937561e+03	8.688785158e+03	2.206826125e-04	4.546085159e-02	1.630381107e+00	3.846913874e-01
6.959685041e+08	5.997941715e+03	8.823354847e+03	2.231142591e-04	4.735422455e-02	1.629440308e+00	3.843269050e-01
6.959663263e+08	6.024292982e+03	8.957204045e+03	2.254998839e-04	4.935807598e-02	1.628427505e+00	3.839300871e-01
6.959641858e+08	6.050978558e+03	9.090136643e+03	2.278319189e-04	5.147716635e-02	1.627351522e+00	3.835047781e-01
6.959620845e+08	6.077982639e+03	9.221962927e+03	2.301049189e-04	5.371637283e-02	1.626211882e+00	3.830501735e-01
6.959600241e+08	6.105286714e+03	9.352490338e+03	2.323141331e-04	5.608044611e-02	1.625004053e+00	3.825642169e-01
6.959580063e+08	6.132870029e+03	9.481525609e+03	2.344555193e-04	5.857396636e-02	1.623724103e+00	3.820451796e-01
6.959560327e+08	6.160707413e+03	9.608871920e+03	2.365256223e-04	6.120086691e-02	1.622365475e+00	3.814907670e-01
6.959541049e+08	6.188770521e+03	9.734334583e+03	2.385215136e-04	6.396637956e-02	1.620922565e+00	3.808992207e-01
6.959522243e+08	6.217032548e+03	9.857742356e+03	2.404409045e-04	6.687275717e-02	1.619388819e+00	3.802676201e-01
6.959503916e+08	6.245466824e+03	9.978941762e+03	2.422822506e-04	6.992396767e-02	1.617757320e+00	3.795942962e-01
6.959486079e+08	6.274044351e+03	1.009779140e+04	2.440441453e-04	7.312430076e-02	1.616038084e+00	3.788825870e-01
6.959468738e+08	6.302734167e+03	1.021414846e+04	2.457255542e-04	7.647760438e-02	1.614248514e+00	3.781383634e-01
6.959451900e+08	6.331503273e+03	1.032788717e+04	2.473255588e-04	7.998713619e-02	1.612385273e+00	3.773600459e-01
6.959435570e+08	6.360318014e+03	1.043889526e+04	2.488438383e-04	8.365569374e-02	1.610443354e+00	3.765452802e-01
6.959419749e+08	6.389145897e+03	1.054708108e+04	2.502805969e-04	8.748574723e-02	1.608418703e+00	3.756924272e-01
6.959404438e+08	6.417956401e+03	1.065237214e+04	2.516363033e-04	9.147946045e-02	1.606309175e+00	3.747999370e-01
6.959389631e+08	6.446722061e+03	1.075472653e+04	2.529121238e-04	9.563891187e-02	1.604112029e+00	3.738667667e-01
6.959375321e+08	6.475420632e+03	1.085413572e+04	2.541097425e-04	9.996639830e-02	1.601824760e+00	3.728913963e-01
6.959361494e+08	6.504038532e+03	1.095062530e+04	2.552314088e-04	1.044650469e-01	1.599446416e+00	3.718733490e-01
6.959348132e+08	6.532572359e+03	1.104426772e+04	2.562800521e-04	1.091392195e-01	1.596997976e+00	3.708216548e-01
6.959335211e+08	6.561031963e+03	1.113517882e+04	2.572590990e-04	1.139949496e-01	1.594487429e+00	3.697392642e-01
6.959322700e+08	6.589444280e+03	1.122352984e+04	2.581722423e-04	1.190395577e-01	1.591909885e+00	3.686236441e-01
6.959310563e+08	6.617847987e+03	1.130953038e+04	2.590235125e-04	1.242762720e-01	1.589258552e+00	3.674708605e-01
6.959298769e+08	6.646281422e+03	1.139337229e+04	2.598166411e-04	1.297212463e-01	1.586524963e+00	3.662769496e-01
6.959287284e+08	6.674781982e+03	1.147525168e+04	2.605552094e-04	1.353857645e-01	1.583702326e+00	3.650381863e-01
6.959276072e+08	6.703409169e+03	1.155541440e+04	2.612430317e-04	1.413065500e-01	1.580780745e+00	3.637493253e-01
6.959265083e+08	6.732253592e+03	1.163417309e+04	2.618841279e-04	1.475131298e-01	1.577747822e+00	3.624041378e-01
6.959254267e+08	6.761424926e+03	1.171188444e+04	2.624826522e-04	1.540438354e-01	1.574590921e+00	3.609961271e-01
6.959243569e+08	6.791043951e+03	1.178891225e+04	2.630426031e-04	1.609452519e-01	1.571321249e+00	3.595304191e-01
6.959232936e+08	6.821239010e+03	1.186562812e+04	2.635676710e-04	1.682719150e-01	1.567924976e+00	3.579997122e-01
6.959222316e+08	6.852144114e+03	1.194240866e+04	2.640610589e-04	1.760867299e-01	1.564376116e+00	3.563914895e-01
6.959211655e+08	6.883895693e+03	1.201961766e+04	2.645257367e-04	1.844613062e-01	1.560646534e+00	3.546918631e-01
6.959200903e+08	6.916627275e+03	1.209762104e+04	2.649645105e-04	1.934756500e-01	1.556708217e+00	3.528858721e-01
6.959190012e+08	6.950462976e+03	1.217675418e+04	2.653798506e-04	2.032171615e-01	1.552531958e+00	3.509583175e-01
6.959178941e+08	6.985510145e+03	1.225733115e+04	2.657743868e-04	2.137790354e-01	1.548087835e+00	3.488930464e-01
6.959167651e+08	7.021849767e+03	1.233961058e+04	2.661505504e-04	2.252564993e-01	1.543362021e+00	3.466811180e-01
6.959156112e+08	7.059535888e+03	1.242382410e+04	2.665115217e-04	2.377437114e-01	1.538384438e+00	3.443349898e-01
6.959144306e+08	7.098568433e+03	1.251010389e+04	2.668599047e-04	2.513201779e-01	1.533144474e+00	3.418461680e-01
6.959132234e+08	7.138872370e+03	1.259844709e+04	2.671980568e-04	2.660809905e-01	1.527636051e+00	3.392081857e-01
6.959119905e+08	7.180324423e+03	1.268877412e+04	2.675285683e-04	2.820931064e-01	1.521858931e+00	3.364172280e-01
6.959107335e+08	7.222774589e+03	1.278097983e+04	2.678544483e-04	2.994061524e-01	1.515820622e+00	3.334726691e-01
6.959094547e+08	7.266044315e+03	1.287491074e+04	2.681787761e-04	3.180528836e-01	1.509539604e+00	3.303797841e-01
6.959081566e+08	7.309932745e+03	1.297036505e+04	2.685051826e-04	3.380523434e-01	1.503104925e+00	3.271802366e-01
6.959068417e+08	7.354253201e+03	1.306717508e+04	2.688369000e-04	3.594194437e-01	1.496550322e+00	3.238889277e-01
6.959055116e+08	7.398853234e+03	1.316522855e+04	2.691768354e-04	3.821739700e-01	1.489891768e+00	3.205119967e-01
6.959041669e+08	7.443617325e+03	1.326448000e+04	2.695277245e-04	4.063449987e-01	1.483140945e+00	3.170536458e-01
6.959028074e+08	7.488470435e+03	1.336496780e+04	2.698924555e-04	4.319772507e-01	1.476307154e+00	3.135168552e-01
6.959014321e+08	7.533364975e+03	1.346676157e+04	2.702740760e-04	4.591289625e-01	1.469420671e+00	3.099163473e-01
6.959000398e+08	7.578270978e+03	1.356995654e+04	2.706757549e-04	4.878711443e-01	1.462538004e+00	3.062815666e-01
6.958986290e+08	7.623177856e+03	1.367469338e+04	2.710997823e-04	5.182786615e-01	1.455657959e+00	3.026107848e-01
6.958971977e+08	7.668086680e+03	1.378111563e+04	2.715479888e-04	5.504276902e-01	1.448777676e+00	2.989010513e-01
6.958957440e+08	7.713007881e+03	1.388939523e+04	2.720224776e-04	5.844288021e-01	1.441892624e+00	2.951488197e-01
6.958942653e+08	7.757960712e+03	1.399972547e+04	2.725252633e-04	6.204022543e-01	1.435002089e+00	2.913525701e-01
6.958927594e+08	7.802966688e+03	1.411230244e+04	2.730594300e-04	6.584793411e-01	1.428145409e+00	2.875346541e-01
6.958912241e+08	7.848043425e+03	1.422731088e+04	2.736273146e-04	6.987995901e-01	1.421339273e+00	2.837053537e-01
6.958896574e+08	7.893204444e+03	1.434492987e+04	2.742307191e-04	7.414752743e-01	1.414578199e+00	2.798613906e-01
6.958880573e+08	7.938461188e+03	1.446532707e+04	2.748711970e-04	7.866243750e-01	1.407858372e+00	2.760004699e-01
6.958864216e+08	7.983826581e+03	1.458869434e+04	2.755507544e-04	8.344162796e-01	1.401178479e+00	2.721214592e-01
6.958847482e+08	8.029316020e+03	1.471522353e+04	2.762715361e-04	8.850355314e-01	1.394546986e+00	2.682298422e-01
6.958830351e+08	8.074940844e+03	1.484511643e+04	2.770366250e-04	9.386843247e-01	1.387999296e+00	2.643476129e-01
6.958812805e+08	8.120705117e+03	1.497853361e+04	2.778475523e-04	9.955872865e-01	1.381536484e+00	2.604754567e-01
6.958794827e+08	8.166608992e+03	1.511563568e+04	2.787059075e-04	1.055950481e+00	1.375156164e+00	2.566117346e-01
6.958776401e+08	8.212652612e+03	1.525660736e+04	2.796132261e-04	1.119898239e+00	1.368858814e+00	2.527569234e-01
6.958757509e+08	8.258838046e+03	1.540162771e+04	2.805712619e-04	1.187639238e+00	1.362644434e+00	2.489114851e-01
6.958738133e+08	8.305166651e+03	1.555088858e+04	2.815830054e-04	1.259394328e+00	1.356533051e+00	2.450924516e-01
6.958718258e+08	8.351634842e+03	1.570455908e+04	2.826506943e-04	1.335386236e+00	1.350535035e+00	2.413078249e-01
6.958697871e+08	8.398234659e+03	1.586280121e+04	2.837755176e-04	1.415838833e+00	1.344654322e+00	2.375587523e-01
6.958676960e+08	8.444956979e+03	1.602578266e+04	2.849589507e-04	1.500983846e+00	1.338894367e+00	2.338460535e-01
6.958655509e+08	8.491794100e+03	1.619367254e+04	2.862025681e-04	1.591065671e+00	1.333257198e+00	2.301704288e-01
6.958633506e+08	8.538739508e+03	1.636666269e+04	2.875083972e-04	1.686355909e+00	1.327757478e+00	2.265402526e-01
6.958610938e+08	8.585784659e+03	1.654492223e+04	2.888796259e-04	1.787159377e+00	1.322404861e+00	2.229667902e-01
6.958587794e+08	8.632917982e+03	1.672862169e+04	2.903173381e-04	1.893722326e+00	1.317193747e+00	2.194506377e-01
6.958564065e+08	8.680126551e+03	1.691792306e+04	2.918227538e-04	2.006301375e+00	1.312117934e+00	2.159926146e-01
6.958539741e+08	8.727398117e+03	1.711299831e+04	2.933971619e-04	2.125179313e+00	1.307171226e+00	2.125933021e-01
6.958514812e+08	8.774721535e+03	1.731402790e+04	2.950421818e-04	2.250754242e+00	1.302350640e+00	2.092543542e-01
6.958489269e+08	8.822085299e+03	1.752118521e+04	2.967609070e-04	2.383255869e+00	1.297671795e+00	2.059863955e-01
6.958463105e+08	8.869476462e+03	1.773464788e+04	2.985548343e-04	2.522904631e+00	1.293132782e+00	2.027900070e-01
6.958436313e+08	8.916881178e+03	1.795456939e+04	3.004247470e-04	2.669933364e+00	1.288735509e+00	1.996669769e-01
6.958408889e+08	8.964285992e+03	1.818112736e+04	3.023718697e-04	2.824578887e+00	1.284479141e+00	1.966183931e-01
6.958380825e+08	9.011678350e+03	1.841449233e+04	3.043973475e-04	2.987075110e+00	1.280361295e+00	1.936448663e-01
6.958352118e+08	9.059046279e+03	1.865484052e+04	3.065041159e-04	3.157651178e+00	1.276382208e+00	1.907513738e-01
6.958322763e+08	9.106377751e+03	1.890233960e+04	3.086938851e-04	3.336510412e+00	1.272541761e+00	1.879394948e-01
6.958292758e+08	9.153660256e+03	1.915715870e+04	3.109675567e-04	3.523803004e+00	1.268841267e+00	1.852080226e-01
6.958262100e+08	9.200881292e+03	1.941946692e+04	3.133258323e-04	3.719542720e+00	1.265281677e+00	1.825564057e-01
6.958230789e+08	9.248029610e+03	1.968942769e+04	3.157696382e-04	3.924559768e+00	1.261863232e+00	1.799831390e-01
6.958198823e+08	9.295095121e+03	1.996722432e+04	3.183009643e-04	4.139430006e+00	1.258584857e+00	1.774868071e-01
6.958166199e+08	9.342067639e+03	2.025303729e+04	3.209221243e-04	4.363777595e+00	1.255437255e+00	1.750651002e-01
6.958132919e+08	9.388936841e+03	2.054703288e+04	3.236336306e-04	4.598052791e+00	1.252414107e+00	1.727171987e-01
6.958098983e+08	9.435692775e+03	2.084939581e+04	3.264362212e-04	4.842471651e+00	1.249509215e+00	1.704423130e-01
6.958064391e+08	9.482325997e+03	2.116030515e+04	3.293306716e-04	5.097056695e+00	1.246716142e+00	1.682396978e-01
6.958029145e+08	9.528827761e+03	2.147994280e+04	3.323180688e-04	5.361917108e+00	1.244028568e+00	1.661077589e-01
6.957993246e+08	9.575189940e+03	2.180848924e+04	3.354015534e-04	5.637189803e+00	1.241446972e+00	1.640458703e-01
6.957956696e+08	9.621404910e+03	2.214613204e+04	3.385818619e-04	5.923001378e+00	1.238967657e+00	1.620524675e-01
6.957919498e+08	9.667465550e+03	2.249305737e+04	3.418598460e-04	6.219470778e+00	1.236586690e+00	1.601261199e-01
6.957881655e+08	9.713365252e+03	2.284945140e+04	3.452362329e-04	6.526704246e+00	1.234302163e+00	1.582656056e-01
6.957843171e+08	9.759098013e+03	2.321550738e+04	3.487117763e-04	6.844791347e+00	1.232112050e+00	1.564692259e-01
6.957804049e+08	9.804658357e+03	2.359141860e+04	3.522890661e-04	7.173801441e+00	1.230014086e+00	1.547342390e-01
6.957764293e+08	9.850041343e+03	2.397737546e+04	3.559697128e-04	7.513735750e+00	1.228006840e+00	1.530595571e-01
6.957723907e+08	9.895242634e+03	2.437358546e+04	3.597545853e-04	7.864393667e+00	1.226085901e+00	1.514441520e-01
6.957682897e+08	9.940258506e+03	2.478024896e+04	3.636443603e-04	8.226181473e+00	1.224247813e+00	1.498870999e-01
6.957641266e+08	9.985085768e+03	2.519756208e+04	3.676395867e-04	8.600354320e+00	1.222487330e+00	1.483872682e-01
6.957599020e+08	1.002972177e+04	2.562574082e+04	3.717418664e-04	8.985788077e+00	1.220798850e+00	1.469427645e-01
6.957556164e+08	1.007416436e+04	2.606498413e+04	3.759541868e-04	9.382970929e+00	1.219179392e+00	1.455505788e-01
6.957512704e+08	1.011841185e+04	2.651551938e+04	3.802774848e-04	9.792081419e+00	1.217628002e+00	1.442101151e-01
6.957468644e+08	1.016246313e+04	2.697755122e+04	3.847126924e-04	1.021329158e+01	1.216143489e+00	1.429206431e-01
6.957423992e+08	1.020631770e+04	2.745130985e+04	3.892608038e-04	1.064680826e+01	1.214725256e+00	1.416816860e-01
6.957378754e+08	1.024997561e+04	2.793701412e+04	3.939226410e-04	1.109285902e+01	1.213374376e+00	1.404925287e-01
6.957332935e+08	1.029343741e+04	2.843487721e+04	3.987004721e-04	1.155169787e+01	1.212088346e+00	1.393519491e-01
6.957286542e+08	1.033670400e+04	2.894513216e+04	4.035969925e-04	1.202359735e+01	1.210863709e+00	1.382578909e-01
6.957239581e+08	1.037977681e+04	2.946802624e+04	4.086135459e-04	1.250883948e+01	1.209700465e+00	1.372098029e-01
6.957192060e+08	1.042265774e+04	3.000378399e+04	4.137515163e-04	1.300772529e+01	1.208598375e+00	1.362070143e-01
6.957143985e+08	1.046534946e+04	3.055264983e+04	4.190124496e-04	1.352058022e+01	1.207556725e+00	1.352485418e-01
6.957095363e+08	1.050785571e+04	3.111486535e+04	4.243973457e-04	1.404775578e+01	1.206573606e+00	1.343321949e-01
6.957046198e+08	1.055017945e+04	3.169070339e+04	4.299065826e-04	1.458960957e+01	1.205637336e+00	1.334475875e-01
6.956996497e+08	1.059232227e+04	3.228043397e+04	4.355412455e-04	1.514650602e+01	1.204743743e+00	1.325927824e-01
6.956946262e+08	1.063428582e+04	3.288433845e+04	4.413028425e-04	1.571883158e+01	1.203890443e+00	1.317680329e-01
6.956895500e+08	1.067607207e+04	3.350271811e+04	4.471927360e-04	1.630699586e+01	1.203074694e+00	1.309732199e-01
6.956844215e+08	1.071768332e+04	3.413584011e+04	4.532120257e-04	1.691143247e+01	1.202294350e+00	1.302084178e-01
6.956792412e+08	1.075912223e+04	3.478400004e+04	4.593621161e-04	1.753260860e+01	1.201547384e+00	1.294732988e-01
6.956740096e+08	1.080039144e+04	3.544751621e+04	4.656459462e-04	1.817103847e+01	1.200833082e+00	1.287648082e-01
6.956687271e+08	1.084149350e+04	3.612670696e+04	4.720659434e-04	1.882727996e+01	1.200151324e+00	1.280814260e-01
6.956633942e+08	1.088243108e+04	3.682188208e+04	4.786237762e-04	1.950196326e+01	1.199502349e+00	1.274229139e-01
6.956580112e+08	1.092320723e+04	3.753335420e+04	4.853209942e-04	2.019584821e+01	1.198886395e+00	1.267893016e-01
6.956525788e+08	1.096382526e+04	3.826148429e+04	4.921596369e-04	2.090993136e+01	1.198302507e+00	1.261805445e-01
6.956470972e+08	1.100428882e+04	3.900657646e+04	4.991417132e-04	2.164567249e+01	1.197748661e+00	1.255965978e-01
6.956415670e+08	1.104460160e+04	3.976899450e+04	5.062703838e-04	2.240483708e+01	1.197223783e+00	1.250359714e-01
6.956359887e+08	1.108476720e+04	4.054910221e+04	5.135485304e-04	2.318302154e+01	1.196726084e+00	1.244978011e-01
6.956303626e+08	1.112478935e+04	4.134722928e+04	5.209787049e-04	2.398073724e+01	1.196255088e+00	1.239821315e-01
6.956246893e+08	1.116467215e+04	4.216376510e+04	5.285637341e-04	2.480013275e+01	1.195809603e+00	1.234890148e-01
6.956189692e+08	1.120441996e+04	4.299904788e+04	5.363060677e-04	2.564317262e+01	1.195390821e+00	1.230187193e-01
6.956132028e+08	1.124403748e+04	4.385348973e+04	5.442090763e-04	2.651288704e+01	1.194999337e+00	1.225713417e-01
